Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta
TRX-12800,PROD-1335,09/05/2025,-5,1006.95,29.06,999,Devuelto,Bogotá,Físico
TRX-12900,PROD-2417,14/10/2024,-5,999.03,69.73,18,Devuelto,BOG,WhatsApp
TRX-13000,PROD-1780,04/01/2026,-5,1132.86,,999,Perdido,Bucaramanga,WhatsApp
TRX-13100,PROD-2689,29/03/2025,-5,1174.59,93.56,28,En Camino,Bogotá,Físico
TRX-13200,PROD-1064,23/10/2024,-5,406.3,47.34,999,Retrasado,Barranquilla,App
TRX-13300,PROD-3342,15/12/2025,-5,1448.84,,7,Perdido,Bogotá,Online
TRX-13400,PROD-3384,20/01/2026,-5,890.6,92.01,999,Perdido,Bogotá,App
TRX-13500,PROD-1763,29/01/2026,-5,631.67,60.7,18,,Bogotá,App
TRX-13600,PROD-2702,23/02/2025,-5,1242.03,,999,Perdido,Barranquilla,App
TRX-13700,PROD-1309,12/10/2024,-5,1355.99,13.98,9,Entregado,Cali,Físico
TRX-13800,PROD-1365,30/12/2025,-5,846.01,93.12,999,,BOG,WhatsApp
TRX-13900,PROD-3574,20/02/2025,-5,424.54,,20,En Camino,MED,App
TRX-14000,PROD-2490,30/11/2024,-5,12.47,52.98,999,En Camino,Cali,Online
TRX-14100,PROD-1969,26/01/2025,-5,976.77,9.88,4,Retrasado,Bucaramanga,WhatsApp
TRX-14200,PROD-3798,19/10/2025,-5,1312.3,,999,Retrasado,BOG,WhatsApp
TRX-14300,PROD-3156,13/05/2025,-5,1181.99,61.59,16,Devuelto,Bucaramanga,App
TRX-14400,PROD-2718,18/01/2026,-5,1684.19,32.34,999,Retrasado,Bucaramanga,WhatsApp
TRX-14500,PROD-2513,12/12/2025,-5,1395.92,,26,Devuelto,Ventas_Web,Físico
TRX-14600,PROD-3343,27/10/2025,-5,133.14,15.12,999,,Bogotá,Físico
TRX-14700,PROD-1667,17/09/2025,-5,1655.26,26.7,28,Devuelto,Medellín,Online
TRX-14800,PROD-3751,11/12/2024,-5,1236.66,,999,Perdido,Cali,Físico
TRX-14900,PROD-2019,23/05/2025,-5,411.38,98.24,14,,Cali,WhatsApp
TRX-15000,PROD-3142,27/06/2025,-5,1118.3,61.31,999,Devuelto,Bogotá,WhatsApp
TRX-15100,PROD-2805,05/11/2024,-5,1656.43,,5,Entregado,Bucaramanga,Físico
TRX-15200,PROD-2488,29/03/2025,-5,631.57,95.14,999,Perdido,Cali,Físico
TRX-15300,PROD-3812,01/12/2024,-5,1129.44,53.73,15,Retrasado,BOG,Online
TRX-15400,PROD-2755,04/01/2025,-5,654.5,,999,En Camino,Ventas_Web,WhatsApp
TRX-15500,PROD-3807,24/12/2024,-5,991.49,49.98,6,,Ventas_Web,App
TRX-15600,PROD-1904,14/10/2025,-5,203.35,53.01,999,Entregado,Cali,WhatsApp
TRX-15700,PROD-2498,29/12/2024,-5,1351.4,,2,Devuelto,MED,App
TRX-15800,PROD-2352,27/09/2025,-5,253.37,88.5,999,Devuelto,Cali,Online
TRX-15900,PROD-3857,29/05/2025,-5,1841.84,75.86,7,Entregado,Bogotá,App
TRX-16000,PROD-2518,05/12/2025,-5,1504.43,,999,Devuelto,Barranquilla,WhatsApp
TRX-16100,PROD-2567,14/10/2025,-5,519.26,39.66,27,En Camino,Barranquilla,Físico
TRX-16200,PROD-2076,03/03/2025,-5,211.6,93.31,999,Devuelto,Cali,App
TRX-16300,PROD-2727,18/10/2025,-5,1270.4,,26,Entregado,Ventas_Web,WhatsApp
TRX-16400,PROD-2498,19/12/2025,-5,1645.48,39.72,999,Perdido,Bogotá,WhatsApp
TRX-16500,PROD-1229,19/07/2025,-5,1744.63,89.73,3,Entregado,BOG,Online
TRX-16600,PROD-2987,15/08/2025,-5,1542.07,,999,,Barranquilla,WhatsApp
TRX-16700,PROD-3901,25/03/2025,-5,775.08,7.29,22,En Camino,Medellín,Físico
TRX-16800,PROD-2085,12/11/2024,-5,1187.13,14.01,999,En Camino,MED,Físico
TRX-16900,PROD-2090,16/01/2026,-5,511.78,,18,Perdido,Ventas_Web,Online
TRX-17000,PROD-2985,22/10/2025,-5,460.3,22.75,999,Entregado,Cali,App
TRX-17100,PROD-1437,07/12/2025,-5,692.04,88.27,6,,Bogotá,WhatsApp
TRX-17200,PROD-3646,18/05/2025,-5,299.14,,999,Entregado,Bogotá,Físico
TRX-17300,PROD-1200,10/11/2025,-5,770.41,27.36,23,Devuelto,Ventas_Web,App
TRX-17400,PROD-3520,08/11/2025,-5,1020.44,52.09,999,,Bogotá,Físico
TRX-17500,PROD-1379,09/10/2024,-5,502.62,,26,,Barranquilla,Físico
TRX-17600,PROD-3826,29/08/2025,-5,236.13,60.93,999,Entregado,MED,App
TRX-17700,PROD-1399,10/07/2025,-5,970.95,39.83,20,Entregado,Cali,Físico
TRX-17800,PROD-1346,25/09/2024,-5,1909.0,,999,En Camino,Bucaramanga,WhatsApp
TRX-17900,PROD-2174,06/05/2025,-5,1075.66,70.42,2,,Medellín,App
TRX-18000,PROD-3129,24/12/2024,-5,1419.67,84.79,999,Perdido,Ventas_Web,Físico
TRX-18100,PROD-1076,14/11/2025,-5,185.4,,7,Retrasado,Cali,Físico
TRX-18200,PROD-1610,11/12/2025,-5,1782.18,93.26,999,Perdido,Bogotá,Online
TRX-18300,PROD-1737,01/11/2024,-5,705.25,33.72,23,Entregado,Barranquilla,App
TRX-18400,PROD-1521,26/01/2025,-5,681.79,,999,Perdido,BOG,Online
TRX-18500,PROD-3174,08/09/2025,-5,1213.38,66.34,21,,Ventas_Web,WhatsApp
TRX-18600,PROD-2420,25/06/2025,-5,253.79,71.4,999,Entregado,Ventas_Web,WhatsApp
TRX-18700,PROD-3984,27/12/2024,-5,460.03,,21,Retrasado,Bucaramanga,Online
TRX-18800,PROD-1761,14/06/2025,-5,153.31,76.01,999,Retrasado,Bucaramanga,WhatsApp
TRX-18900,PROD-2152,19/12/2025,-5,445.33,12.49,13,,BOG,App
TRX-19000,PROD-1405,12/01/2025,-5,1788.15,,999,Perdido,Cali,WhatsApp
TRX-19100,PROD-3922,13/07/2025,-5,128.01,28.13,13,Retrasado,Ventas_Web,App
TRX-19200,PROD-3420,27/04/2025,-5,1817.31,74.48,999,Retrasado,MED,App
TRX-19300,PROD-3320,29/01/2026,-5,570.33,,13,Retrasado,Bucaramanga,Online
TRX-19400,PROD-2285,16/02/2025,-5,1605.11,33.8,999,Entregado,Ventas_Web,Online
TRX-19500,PROD-1328,01/03/2025,-5,289.1,8.78,3,En Camino,Medellín,Físico
TRX-19600,PROD-1919,21/03/2025,-5,1113.59,,999,Retrasado,Ventas_Web,WhatsApp
TRX-19700,PROD-3510,22/09/2025,-5,825.74,18.19,16,Retrasado,Bogotá,App
TRX-19800,PROD-2323,27/01/2025,-5,1771.41,57.91,999,Retrasado,Medellín,App
TRX-19900,PROD-2043,17/09/2025,-5,1311.31,,15,En Camino,Bogotá,App
