Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Anio_Venta,Mes_Venta,Trimestre_Venta,Ciudad_Invalida_Origen,Cantidad_Sospechosa_Origen,Costo_Envio_Imputado,Tiempo_Entrega_Imputado,Ingreso_Bruto,Ingreso_Neto_Logistico,Ratio_Envio_Venta,Entrega_Tardia,Brecha_SLA,Antiguedad_Dias,Registro_Confiable
TRX-10012,PROD-2728,2025-08-01,1.0,1375.59,51.605000000000004,8.0,Entregado,Cali,App,2025,2025-08,2025Q3,False,False,True,False,1375.59,1323.985,3.7514811826198216,False,-7.0,187,False
TRX-10013,PROD-1130,2024-12-10,13.0,485.04,63.46,12.0,Entregado,Barranquilla,Físico,2024,2024-12,2024Q4,False,False,False,False,6305.52,6242.06,1.0064197718824142,False,-3.0,421,True
TRX-10014,PROD-1122,2025-03-21,11.0,1673.53,98.3,15.0,Devuelto,,Online,2025,2025-03,2025Q1,True,False,False,False,18408.829999999998,18310.53,0.5339828766955858,False,0.0,320,False
TRX-10015,PROD-1383,2026-01-27,2.0,1446.47,12.07,5.0,Sin_Informacion,Bucaramanga,App,2026,2026-01,2026Q1,False,False,False,False,2892.94,2880.87,0.41722261782131675,False,-10.0,8,True
TRX-10016,PROD-1895,2025-03-04,3.0,475.85,51.59,15.0,Perdido,,WhatsApp,2025,2025-03,2025Q1,True,False,False,False,1427.5500000000002,1375.9600000000003,3.6138839270078105,False,0.0,337,False
TRX-10017,PROD-1952,2025-04-12,14.0,1950.2,74.64,15.0,Sin_Informacion,,Online,2025,2025-04,2025Q2,True,False,False,False,27302.8,27228.16,0.2733785545804826,False,0.0,298,False
TRX-10018,PROD-3069,2024-10-06,14.0,1332.95,9.37,3.0,Devuelto,Cali,WhatsApp,2024,2024-10,2024Q4,False,False,False,False,18661.3,18651.93,0.0502108641948846,False,-12.0,486,True
TRX-10019,PROD-3465,2025-09-04,2.0,910.33,78.94,23.0,Perdido,Medellin,Online,2025,2025-09,2025Q3,False,False,False,False,1820.66,1741.72,4.335790317796842,True,8.0,153,True
TRX-10020,PROD-1108,2025-05-26,2.0,323.48,98.05,10.0,Retrasado,Bogota,Online,2025,2025-05,2025Q2,False,False,False,False,646.96,548.9100000000001,15.155496475825398,False,-5.0,254,True
TRX-10021,PROD-3298,2024-10-06,12.0,1071.11,13.41,9.0,Perdido,Bogota,Online,2024,2024-10,2024Q4,False,False,False,False,12853.32,12839.91,0.10433102109027084,False,-6.0,486,True
TRX-10022,PROD-1814,2024-12-30,11.0,337.9,83.11,17.0,En Camino,Bogota,WhatsApp,2024,2024-12,2024Q4,False,False,False,False,3716.8999999999996,3633.7899999999995,2.2360031208803037,True,2.0,401,True
TRX-10023,PROD-3932,2024-10-25,6.0,864.69,40.97,15.0,Perdido,,Online,2024,2024-10,2024Q4,True,False,False,False,5188.14,5147.17,0.7896857062453981,False,0.0,467,False
TRX-10024,PROD-3661,2025-12-02,7.0,823.34,51.605000000000004,15.0,En Camino,,App,2025,2025-12,2025Q4,True,False,True,False,5763.38,5711.775000000001,0.895394716294952,False,0.0,64,False
TRX-10025,PROD-3872,2025-06-06,6.0,1442.68,18.69,27.0,Perdido,Barranquilla,App,2025,2025-06,2025Q2,False,False,False,False,8656.08,8637.39,0.21591759780408684,True,12.0,243,True
TRX-10026,PROD-3232,2024-10-26,11.0,392.84,51.85,9.0,Devuelto,Bogota,App,2024,2024-10,2024Q4,False,False,False,False,4321.24,4269.389999999999,1.199887069452287,False,-6.0,466,True
TRX-10027,PROD-2718,2024-10-11,6.0,1645.52,11.79,23.0,Perdido,Medellin,Online,2024,2024-10,2024Q4,False,False,False,False,9873.119999999999,9861.329999999998,0.11941513928727697,True,8.0,481,True
TRX-10028,PROD-1902,2025-02-21,9.0,659.0,54.6,3.0,Entregado,Cali,Físico,2025,2025-02,2025Q1,False,False,False,False,5931.0,5876.4,0.9205867475973697,False,-12.0,348,True
TRX-10029,PROD-2839,2026-01-25,8.0,893.54,6.84,15.0,Perdido,,Físico,2026,2026-01,2026Q1,True,False,False,False,7148.32,7141.48,0.09568681872104215,False,0.0,10,False
TRX-10030,PROD-3413,2025-06-09,14.0,1546.96,74.22,12.0,Devuelto,Barranquilla,App,2025,2025-06,2025Q2,False,False,False,False,21657.440000000002,21583.22,0.34269978353858993,False,-3.0,240,True
TRX-10031,PROD-2139,2025-03-05,8.0,1254.53,51.36,18.0,Devuelto,Bucaramanga,Online,2025,2025-03,2025Q1,False,False,False,False,10036.24,9984.88,0.5117454345452082,True,3.0,336,True
TRX-10032,PROD-1026,2024-12-08,6.0,622.97,48.6,10.0,Perdido,Bogota,WhatsApp,2024,2024-12,2024Q4,False,False,False,False,3737.82,3689.2200000000003,1.300223124709055,False,-5.0,423,True
TRX-10033,PROD-1653,2025-08-02,5.0,778.54,23.64,2.0,Perdido,Bucaramanga,WhatsApp,2025,2025-08,2025Q3,False,False,False,False,3892.7,3869.06,0.6072905695275773,False,-13.0,186,True
TRX-10034,PROD-3859,2025-11-12,9.0,618.52,39.32,17.0,Perdido,Medellin,App,2025,2025-11,2025Q4,False,False,False,False,5566.68,5527.360000000001,0.7063456135434406,True,2.0,84,True
TRX-10035,PROD-2731,2025-02-06,12.0,1193.59,22.28,3.0,Sin_Informacion,Barranquilla,Online,2025,2025-02,2025Q1,False,False,False,False,14323.079999999998,14300.799999999997,0.15555313521951986,False,-12.0,363,True
TRX-10036,PROD-2393,2025-09-16,2.0,671.92,53.06,1.0,Sin_Informacion,Barranquilla,WhatsApp,2025,2025-09,2025Q3,False,False,True,False,1343.84,1290.78,3.9483867127038943,False,-14.0,141,False
TRX-10037,PROD-2138,2025-04-18,7.0,1454.14,74.86,8.0,Retrasado,Medellin,WhatsApp,2025,2025-04,2025Q2,False,False,False,False,10178.980000000001,10104.12,0.7354371459615795,False,-7.0,292,True
TRX-10038,PROD-1636,2025-05-22,6.0,1163.78,23.91,13.0,En Camino,Medellin,WhatsApp,2025,2025-05,2025Q2,False,False,False,False,6982.68,6958.77,0.34241867019539773,False,-2.0,258,True
TRX-10039,PROD-1881,2024-11-28,7.0,299.96,63.59,11.0,Perdido,Barranquilla,Físico,2024,2024-11,2024Q4,False,False,False,False,2099.72,2036.1299999999999,3.0284990379669674,False,-4.0,433,True
TRX-10040,PROD-2378,2025-01-16,12.0,627.43,31.56,8.0,Perdido,Bogota,Físico,2025,2025-01,2025Q1,False,False,False,False,7529.16,7497.599999999999,0.41917026600576957,False,-7.0,384,True
TRX-10041,PROD-1418,2025-10-31,4.0,450.68,67.41,15.0,En Camino,,WhatsApp,2025,2025-10,2025Q4,True,False,False,False,1802.72,1735.31,3.73934942753173,False,0.0,96,False
TRX-10042,PROD-1379,2025-04-12,9.0,786.72,56.34,1.0,Entregado,Bogota,Online,2025,2025-04,2025Q2,False,False,False,False,7080.4800000000005,7024.14,0.7957087655074233,False,-14.0,298,True
TRX-10043,PROD-2556,2025-10-03,7.0,1036.81,45.23,2.0,Retrasado,Bogota,WhatsApp,2025,2025-10,2025Q4,False,False,False,False,7257.67,7212.4400000000005,0.6232027634213184,False,-13.0,124,True
TRX-10044,PROD-1396,2025-05-30,2.0,1018.46,68.94,18.0,Retrasado,Medellin,WhatsApp,2025,2025-05,2025Q2,False,False,False,False,2036.92,1967.98,3.3845217288847866,True,3.0,250,True
TRX-10045,PROD-2470,2025-12-12,13.0,1511.5,44.49,18.0,Entregado,Medellin,Físico,2025,2025-12,2025Q4,False,False,False,False,19649.5,19605.01,0.22641797501208685,True,3.0,54,True
TRX-10046,PROD-2408,2025-12-08,4.0,386.45,83.03,9.0,En Camino,Bogota,Online,2025,2025-12,2025Q4,False,False,False,False,1545.8,1462.77,5.371328761806185,False,-6.0,58,True
TRX-10047,PROD-3472,2025-06-27,5.0,1893.48,74.31,7.0,En Camino,Cali,App,2025,2025-06,2025Q2,False,False,False,False,9467.4,9393.09,0.7849039863109195,False,-8.0,222,True
TRX-10048,PROD-2083,2025-01-12,2.0,692.26,52.475,9.0,Devuelto,Medellin,Online,2025,2025-01,2025Q1,False,False,True,False,1384.52,1332.045,3.7901222084188024,False,-6.0,388,False
TRX-10049,PROD-1177,2025-12-17,10.0,607.5,56.36,10.0,En Camino,Bogota,Online,2025,2025-12,2025Q4,False,False,False,False,6075.0,6018.64,0.9277366255144033,False,-5.0,49,True
TRX-10050,PROD-3988,2025-08-19,8.0,1373.51,88.32,26.0,Sin_Informacion,Cali,Físico,2025,2025-08,2025Q3,False,False,False,False,10988.08,10899.76,0.8037800962497543,True,11.0,169,True
TRX-10051,PROD-2881,2026-01-08,1.0,1612.98,83.74,2.0,Retrasado,Cali,Online,2026,2026-01,2026Q1,False,False,False,False,1612.98,1529.24,5.191632878274994,False,-13.0,27,True
TRX-10052,PROD-3196,2025-05-14,3.0,763.16,55.52,5.0,Sin_Informacion,Medellin,Físico,2025,2025-05,2025Q2,False,False,False,False,2289.48,2233.96,2.4250048045844474,False,-10.0,266,True
TRX-10053,PROD-1511,2025-03-17,14.0,1496.23,11.5,17.0,Devuelto,Bogota,Online,2025,2025-03,2025Q1,False,False,False,False,20947.22,20935.72,0.05489988647658257,True,2.0,324,True
TRX-10054,PROD-2550,2025-10-19,1.0,1768.63,58.77,2.0,Perdido,Bogota,Físico,2025,2025-10,2025Q4,False,False,False,False,1768.63,1709.8600000000001,3.3229109536760086,False,-13.0,108,True
TRX-10055,PROD-1322,2025-12-23,5.0,1535.94,38.75,20.0,Perdido,Bogota,Online,2025,2025-12,2025Q4,False,False,False,False,7679.700000000001,7640.950000000001,0.5045770017057958,True,5.0,43,True
TRX-10056,PROD-3261,2025-02-12,8.0,78.05,56.31,10.0,Perdido,Medellin,Online,2025,2025-02,2025Q1,False,False,False,False,624.4,568.0899999999999,9.018257527226138,False,-5.0,357,True
TRX-10057,PROD-2200,2024-10-24,7.0,1656.46,66.48,1.0,Devuelto,Bogota,Online,2024,2024-10,2024Q4,False,False,False,False,11595.220000000001,11528.740000000002,0.5733397037744864,False,-14.0,468,True
TRX-10058,PROD-3574,2025-03-22,9.0,1551.22,66.26,12.0,Retrasado,Barranquilla,Online,2025,2025-03,2025Q1,False,False,False,False,13960.98,13894.72,0.47460851602108167,False,-3.0,319,True
TRX-10059,PROD-3533,2024-11-28,2.0,1341.89,68.98,24.0,En Camino,Cali,App,2024,2024-11,2024Q4,False,False,False,False,2683.78,2614.8,2.57025538605996,True,9.0,433,True
TRX-10060,PROD-2481,2024-09-26,12.0,1522.44,51.605000000000004,15.0,Devuelto,Bucaramanga,App,2024,2024-09,2024Q3,False,False,True,False,18269.28,18217.675,0.28246871250536426,False,0.0,496,False
TRX-10061,PROD-3364,2025-07-05,8.0,1959.06,69.53,6.0,Retrasado,Barranquilla,Físico,2025,2025-07,2025Q3,False,False,False,False,15672.48,15602.949999999999,0.44364389043725055,False,-9.0,214,True
TRX-10062,PROD-1787,2025-06-18,8.0,867.91,15.38,14.0,En Camino,Barranquilla,App,2025,2025-06,2025Q2,False,False,False,False,6943.28,6927.9,0.22150914265304006,False,-1.0,231,True
TRX-10063,PROD-3885,2025-05-16,14.0,143.77,23.21,14.0,Entregado,Cali,WhatsApp,2025,2025-05,2025Q2,False,False,False,False,2012.7800000000002,1989.5700000000002,1.1531314897803038,False,-1.0,264,True
TRX-10064,PROD-1284,2025-06-26,6.0,927.17,64.9,15.0,Retrasado,Bogota,App,2025,2025-06,2025Q2,False,False,False,False,5563.0199999999995,5498.12,1.1666325125561297,False,0.0,223,True
TRX-10065,PROD-1187,2024-11-02,3.0,102.4,43.78,15.0,Sin_Informacion,,Físico,2024,2024-11,2024Q4,True,False,False,False,307.20000000000005,263.4200000000001,14.25130208333333,False,0.0,459,False
TRX-10066,PROD-3708,2025-01-21,2.0,595.56,77.47,25.0,Sin_Informacion,Cali,WhatsApp,2025,2025-01,2025Q1,False,False,False,False,1191.12,1113.6499999999999,6.503962656995098,True,10.0,379,True
TRX-10067,PROD-1933,2026-01-29,14.0,1177.89,16.87,17.0,Entregado,Cali,App,2026,2026-01,2026Q1,False,False,False,False,16490.460000000003,16473.590000000004,0.10230157315199212,True,2.0,6,True
TRX-10068,PROD-2185,2025-06-24,8.0,626.15,23.19,11.0,Perdido,Medellin,WhatsApp,2025,2025-06,2025Q2,False,False,False,False,5009.2,4986.01,0.46294817535734256,False,-4.0,225,True
TRX-10069,PROD-1326,2025-05-11,6.0,1373.94,58.05,15.0,Perdido,Bogota,WhatsApp,2025,2025-05,2025Q2,False,False,False,False,8243.64,8185.589999999999,0.7041792218000786,False,0.0,269,True
TRX-10070,PROD-1953,2025-07-23,4.0,1645.75,52.57,15.0,Retrasado,,WhatsApp,2025,2025-07,2025Q3,True,False,False,False,6583.0,6530.43,0.798572079598967,False,0.0,196,False
TRX-10071,PROD-1413,2024-12-17,5.0,846.67,30.31,16.0,Sin_Informacion,Bogota,Físico,2024,2024-12,2024Q4,False,False,False,False,4233.349999999999,4203.039999999999,0.7159814331439641,True,1.0,414,True
TRX-10072,PROD-2556,2024-11-24,5.0,1801.27,51.605000000000004,21.0,Entregado,Medellin,App,2024,2024-11,2024Q4,False,False,True,False,9006.35,8954.745,0.5729846164095334,True,6.0,437,False
TRX-10073,PROD-2138,2025-10-31,13.0,168.88,43.79,29.0,Devuelto,Bogota,Físico,2025,2025-10,2025Q4,False,False,False,False,2195.44,2151.65,1.9945887840250702,True,14.0,96,True
TRX-10074,PROD-2857,2025-04-02,9.0,1681.83,8.32,27.0,En Camino,Bogota,Físico,2025,2025-04,2025Q2,False,False,False,False,15136.47,15128.15,0.0549665807153187,True,12.0,308,True
TRX-10075,PROD-3603,2025-07-12,13.0,1658.86,8.52,9.0,Perdido,Cali,App,2025,2025-07,2025Q3,False,False,False,False,21565.18,21556.66,0.039508133018133856,False,-6.0,207,True
TRX-10076,PROD-2494,2024-10-23,13.0,650.77,14.02,15.0,Perdido,,Físico,2024,2024-10,2024Q4,True,False,False,False,8460.01,8445.99,0.16572084430160247,False,0.0,469,False
TRX-10077,PROD-1666,2025-08-18,9.0,604.44,59.8,12.0,Perdido,Barranquilla,Online,2025,2025-08,2025Q3,False,False,False,False,5439.960000000001,5380.160000000001,1.0992727887705054,False,-3.0,170,True
TRX-10078,PROD-2516,2025-02-15,8.0,617.14,87.05,2.0,Perdido,Cali,App,2025,2025-02,2025Q1,False,False,False,False,4937.12,4850.07,1.763173672100334,False,-13.0,354,True
TRX-10079,PROD-2455,2025-01-07,8.0,1624.67,29.72,15.0,Sin_Informacion,Cali,Online,2025,2025-01,2025Q1,False,False,False,False,12997.36,12967.640000000001,0.22866182055432793,False,0.0,393,True
TRX-10080,PROD-1858,2025-09-16,12.0,1664.99,8.22,15.0,Retrasado,,App,2025,2025-09,2025Q3,True,False,False,False,19979.88,19971.66,0.04114138823656599,False,0.0,141,False
TRX-10081,PROD-3745,2025-01-10,2.0,666.15,72.32,15.0,Sin_Informacion,,App,2025,2025-01,2025Q1,True,False,False,False,1332.3,1259.98,5.428206860316745,False,0.0,390,False
TRX-10082,PROD-2093,2025-06-25,14.0,1189.25,86.26,28.0,Retrasado,Barranquilla,Físico,2025,2025-06,2025Q2,False,False,False,False,16649.5,16563.24,0.518093636445539,True,13.0,224,True
TRX-10083,PROD-3874,2025-04-20,3.0,286.48,18.13,16.0,Entregado,Bucaramanga,Físico,2025,2025-04,2025Q2,False,False,False,False,859.44,841.3100000000001,2.109513171367402,True,1.0,290,True
TRX-10084,PROD-3799,2025-02-08,14.0,942.87,51.93,17.0,Devuelto,Medellin,Físico,2025,2025-02,2025Q1,False,False,True,False,13200.18,13148.25,0.393403726312823,True,2.0,361,False
TRX-10085,PROD-3654,2024-12-17,8.0,1997.6,41.65,20.0,Entregado,Medellin,WhatsApp,2024,2024-12,2024Q4,False,False,False,False,15980.8,15939.15,0.26062525030036043,True,5.0,414,True
TRX-10086,PROD-1292,2024-11-05,13.0,326.09,20.08,27.0,Sin_Informacion,Bucaramanga,App,2024,2024-11,2024Q4,False,False,False,False,4239.17,4219.09,0.4736776302908352,True,12.0,456,True
TRX-10087,PROD-3495,2024-12-13,5.0,1895.65,15.1,23.0,Sin_Informacion,Cali,WhatsApp,2024,2024-12,2024Q4,False,False,False,False,9478.25,9463.15,0.15931210930287765,True,8.0,418,True
TRX-10088,PROD-3600,2024-11-25,7.0,1650.27,66.58,4.0,Devuelto,Bogota,Físico,2024,2024-11,2024Q4,False,False,False,False,11551.89,11485.31,0.5763559036659802,False,-11.0,436,True
TRX-10089,PROD-1700,2025-10-05,14.0,1944.71,96.92,8.0,Retrasado,Bogota,Online,2025,2025-10,2025Q4,False,False,False,False,27225.940000000002,27129.020000000004,0.3559840358129049,False,-7.0,122,True
TRX-10090,PROD-3187,2025-11-14,8.0,367.36,69.43,7.0,Perdido,Barranquilla,Online,2025,2025-11,2025Q4,False,False,False,False,2938.88,2869.4500000000003,2.362464612369338,False,-8.0,82,True
TRX-10091,PROD-3986,2025-08-31,6.0,434.9,98.56,6.0,Entregado,Cali,App,2025,2025-08,2025Q3,False,False,False,False,2609.3999999999996,2510.8399999999997,3.777113512684909,False,-9.0,157,True
TRX-10092,PROD-2002,2025-08-09,5.0,43.57,46.27,5.0,Devuelto,Bogota,WhatsApp,2025,2025-08,2025Q3,False,False,False,False,217.85,171.57999999999998,21.239384897865506,False,-10.0,179,True
TRX-10093,PROD-1669,2024-11-16,8.0,1452.16,90.3,10.0,En Camino,Barranquilla,App,2024,2024-11,2024Q4,False,False,False,False,11617.28,11526.980000000001,0.7772903812252093,False,-5.0,445,True
TRX-10094,PROD-2893,2024-12-05,1.0,1291.75,24.48,3.0,Devuelto,Barranquilla,Físico,2024,2024-12,2024Q4,False,False,False,False,1291.75,1267.27,1.8951035417069866,False,-12.0,426,True
TRX-10095,PROD-2554,2025-09-30,1.0,364.35,16.2,24.0,Entregado,Medellin,WhatsApp,2025,2025-09,2025Q3,False,False,False,False,364.35,348.15000000000003,4.446274186908193,True,9.0,127,True
TRX-10096,PROD-2105,2025-01-29,1.0,1584.38,52.475,15.0,Retrasado,,Online,2025,2025-01,2025Q1,True,False,True,False,1584.38,1531.9050000000002,3.312021106047791,False,0.0,371,False
TRX-10097,PROD-3621,2025-06-05,3.0,605.4,71.74,24.0,Perdido,Barranquilla,Físico,2025,2025-06,2025Q2,False,False,False,False,1816.1999999999998,1744.4599999999998,3.9500055060015415,True,9.0,244,True
TRX-10098,PROD-3818,2025-11-18,10.0,278.64,40.28,17.0,En Camino,Cali,Físico,2025,2025-11,2025Q4,False,False,False,False,2786.3999999999996,2746.1199999999994,1.445592879701407,True,2.0,78,True
TRX-10099,PROD-3281,2025-05-11,13.0,850.9,35.18,16.0,Entregado,Medellin,Físico,2025,2025-05,2025Q2,False,False,False,False,11061.699999999999,11026.519999999999,0.3180342985255431,True,1.0,269,True
TRX-10100,PROD-1899,2026-02-01,7.0,191.03,68.77,11.0,Retrasado,Bogota,WhatsApp,2026,2026-02,2026Q1,False,True,False,False,1337.21,1268.44,5.142797316801399,False,-4.0,3,False
TRX-10101,PROD-3804,2025-02-06,12.0,533.85,36.68,13.0,Devuelto,Medellin,Físico,2025,2025-02,2025Q1,False,False,False,False,6406.200000000001,6369.52,0.572570322500078,False,-2.0,363,True
TRX-10102,PROD-2328,2025-09-08,6.0,748.95,59.39,18.0,Retrasado,Cali,Online,2025,2025-09,2025Q3,False,False,False,False,4493.700000000001,4434.31,1.3216280570576582,True,3.0,149,True
TRX-10103,PROD-1229,2025-12-21,6.0,1705.21,33.45,14.0,Retrasado,Medellin,Físico,2025,2025-12,2025Q4,False,False,False,False,10231.26,10197.81,0.32693920396901266,False,-1.0,45,True
TRX-10104,PROD-1938,2025-10-28,5.0,1587.17,79.46,2.0,Perdido,Bucaramanga,WhatsApp,2025,2025-10,2025Q4,False,False,False,False,7935.85,7856.39,1.0012790060295997,False,-13.0,99,True
TRX-10105,PROD-1131,2025-09-12,13.0,891.08,34.68,15.0,Entregado,,WhatsApp,2025,2025-09,2025Q3,True,False,False,False,11584.04,11549.36,0.2993774192768671,False,0.0,145,False
TRX-10106,PROD-2292,2025-01-12,13.0,1451.9,55.82,22.0,Sin_Informacion,Medellin,Online,2025,2025-01,2025Q1,False,False,False,False,18874.7,18818.88,0.2957397998378782,True,7.0,388,True
TRX-10107,PROD-2643,2026-01-20,14.0,1141.61,7.2,21.0,Retrasado,Medellin,WhatsApp,2026,2026-01,2026Q1,False,False,False,False,15982.539999999999,15975.339999999998,0.04504915989573623,True,6.0,15,True
TRX-10108,PROD-2096,2025-07-27,7.0,688.28,52.475,29.0,Devuelto,Bucaramanga,Online,2025,2025-07,2025Q3,False,False,True,False,4817.96,4765.485,1.0891539157651786,True,14.0,192,False
TRX-10109,PROD-1271,2025-02-15,5.0,1454.49,80.21,26.0,Devuelto,Medellin,App,2025,2025-02,2025Q1,False,False,False,False,7272.45,7192.24,1.1029295491890627,True,11.0,354,True
TRX-10110,PROD-1864,2025-12-13,14.0,1370.16,63.93,10.0,Perdido,Medellin,Físico,2025,2025-12,2025Q4,False,False,False,False,19182.24,19118.31,0.33327703125390984,False,-5.0,53,True
TRX-10111,PROD-3323,2024-10-25,2.0,1242.0,23.26,29.0,Retrasado,Barranquilla,App,2024,2024-10,2024Q4,False,False,False,False,2484.0,2460.74,0.9363929146537843,True,14.0,467,True
TRX-10112,PROD-3940,2025-06-09,4.0,1239.73,25.46,7.0,Devuelto,Bogota,App,2025,2025-06,2025Q2,False,False,False,False,4958.92,4933.46,0.5134182442951287,False,-8.0,240,True
TRX-10113,PROD-2288,2024-12-18,1.0,1369.13,29.94,2.0,Sin_Informacion,Bogota,App,2024,2024-12,2024Q4,False,False,False,False,1369.13,1339.19,2.1867901514100194,False,-13.0,413,True
TRX-10114,PROD-1870,2025-08-19,7.0,775.25,59.77,25.0,Devuelto,Bogota,Online,2025,2025-08,2025Q3,False,False,False,False,5426.75,5366.98,1.1013958630856406,True,10.0,169,True
TRX-10115,PROD-3684,2025-12-02,4.0,1739.46,57.09,18.0,Perdido,Bucaramanga,Físico,2025,2025-12,2025Q4,False,False,False,False,6957.84,6900.75,0.8205132627367113,True,3.0,64,True
TRX-10116,PROD-3044,2025-06-14,13.0,332.99,31.02,17.0,Retrasado,Medellin,App,2025,2025-06,2025Q2,False,False,False,False,4328.87,4297.849999999999,0.7165842356088309,True,2.0,235,True
TRX-10117,PROD-2620,2025-08-08,4.0,1768.93,70.94,16.0,Perdido,Bucaramanga,Online,2025,2025-08,2025Q3,False,False,False,False,7075.72,7004.780000000001,1.0025834826703148,True,1.0,180,True
TRX-10118,PROD-3633,2024-10-22,13.0,691.14,89.46,2.0,Retrasado,Medellin,WhatsApp,2024,2024-10,2024Q4,False,False,False,False,8984.82,8895.36,0.995679379219617,False,-13.0,470,True
TRX-10119,PROD-2879,2025-10-19,4.0,258.81,9.13,11.0,Devuelto,Cali,App,2025,2025-10,2025Q4,False,False,False,False,1035.24,1026.11,0.8819211004211585,False,-4.0,108,True
TRX-10120,PROD-1585,2025-05-12,3.0,1204.05,52.475,19.0,Sin_Informacion,Cali,Online,2025,2025-05,2025Q2,False,False,True,False,3612.1499999999996,3559.6749999999997,1.4527359052088094,True,4.0,268,False
TRX-10121,PROD-2084,2025-10-16,8.0,758.21,44.63,15.0,Entregado,,Online,2025,2025-10,2025Q4,True,False,False,False,6065.68,6021.05,0.7357790058163306,False,0.0,111,False
TRX-10122,PROD-1571,2024-12-07,4.0,1632.84,61.38,7.0,Devuelto,Bucaramanga,Online,2024,2024-12,2024Q4,False,False,False,False,6531.36,6469.98,0.9397736459175425,False,-8.0,424,True
TRX-10123,PROD-2010,2025-12-13,8.0,867.26,60.71,27.0,Entregado,Barranquilla,Online,2025,2025-12,2025Q4,False,False,False,False,6938.08,6877.37,0.8750259437769528,True,12.0,53,True
TRX-10124,PROD-3299,2025-01-29,9.0,1340.44,6.86,15.0,Retrasado,,Físico,2025,2025-01,2025Q1,True,False,False,False,12063.960000000001,12057.1,0.05686358376519816,False,0.0,371,False
TRX-10125,PROD-3207,2025-06-20,1.0,623.43,25.0,17.0,Retrasado,Barranquilla,WhatsApp,2025,2025-06,2025Q2,False,False,False,False,623.43,598.43,4.0100733041400005,True,2.0,229,True
TRX-10126,PROD-2076,2024-12-20,4.0,426.81,10.87,15.0,En Camino,Cali,Online,2024,2024-12,2024Q4,False,False,False,False,1707.24,1696.3700000000001,0.6367001710362924,False,0.0,411,True
