Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Anio_Venta,Mes_Venta,Trimestre_Venta,Ciudad_Invalida_Origen,Cantidad_Sospechosa_Origen,Costo_Envio_Imputado,Tiempo_Entrega_Imputado,Ingreso_Bruto,Ingreso_Neto_Logistico,Ratio_Envio_Venta,Entrega_Tardia,Brecha_SLA,Antiguedad_Dias,Registro_Confiable_Transaccion,Categoria,Stock_Actual,Costo_Unitario_USD,Punto_Reorden,Lead_Time_Dias,Bodega_Origen,Ultima_Revision,Categoria_Imputada,Stock_Imputado,Costo_Unitario_Winsorizado,Lead_Time_Dias_Original,Lead_Time_Imputado,Antiguedad_Revision_Dias,Valor_Inventario,Ratio_Stock_Reorden,Alta_Disponibilidad,Registro_Confiable_Inventario,SKU_Fantasma,Rating_Producto,Rating_Logistica,Rating_Promedio,Satisfaccion_NPS,Ticket_Soporte_Abierto,Recomienda_Marca,Segmento_NPS,Tiene_Feedback,Costo_Fantasma_Imputado,Margen_Utilidad_Unitario,Margen_Utilidad_Pct,Margen_Utilidad,Brecha_Entrega_vs_Prometido,Ingreso_En_Riesgo,Ratio_Soporte_Categoria
TRX-10010,PROD-1356,2025-04-04,7.0,917.18,68.91,14.0,Entregado,Bogota,App,2025,2025-04,2025Q2,False,False,False,False,6420.259999999999,6351.349999999999,1.073321018151913,False,-1.0,306,True,Tablets,1776.0,469.69,215.0,0.0,Norte,2025-06-30,False,False,False,Inmediato,False,215.0,834169.44,8.26046511627907,True,True,False,5.0,1.0,3.0,-80.1,False,Talvez,Detractor,True,False,447.48999999999995,48.78976863865326,3132.43,-1.0,0.0,0.18172888015717092
TRX-10011,PROD-3418,2025-12-07,10.0,1119.91,20.77,3.0,Devuelto,Bogota,Físico,2025,2025-12,2025Q4,False,False,False,False,11199.1,11178.33,0.18546133171415558,False,-12.0,59,True,Monitores,669.0,1363.57,293.0,3.0,Sur,2025-12-01,False,False,False,3,False,61.0,912228.33,2.2832764505119454,True,True,False,,,,,,,,False,False,-243.65999999999985,-21.757105481690477,-2436.5999999999985,-12.0,0.0,0.1813819577735125
TRX-10012,PROD-2728,2025-08-01,1.0,1375.59,51.605000000000004,8.0,Entregado,Cali,App,2025,2025-08,2025Q3,False,False,True,False,1375.59,1323.985,3.7514811826198216,False,-7.0,187,False,Tablets,445.0,124.9,100.0,0.0,Norte,2025-03-23,False,False,False,Inmediato,False,314.0,55580.5,4.45,True,True,False,,,,,,,,False,False,1250.6899999999998,90.92025967039596,1250.6899999999998,-7.0,0.0,0.18172888015717092
TRX-10013,PROD-1130,2024-12-10,13.0,485.04,63.46,12.0,Entregado,Barranquilla,Físico,2024,2024-12,2024Q4,False,False,False,False,6305.52,6242.06,1.0064197718824142,False,-3.0,421,True,Accesorios,427.0,887.57,200.0,3.0,Sur,2025-08-07,False,False,False,3,False,177.0,378992.39,2.135,True,True,False,,,,,,,,False,False,-402.53000000000003,-82.98903183242619,-5232.89,-3.0,0.0,0.18234723569350145
TRX-10014,PROD-1122,2025-03-21,11.0,1673.53,98.3,15.0,Devuelto,,Online,2025,2025-03,2025Q1,True,False,False,False,18408.829999999998,18310.53,0.5339828766955858,False,0.0,320,False,Tablets,1344.0,553.9,267.0,3.0,Norte,2025-02-28,False,False,False,3,False,337.0,744441.6,5.033707865168539,True,True,False,,,,,,,,False,False,1119.63,66.90229634365683,12315.93,0.0,0.0,0.18172888015717092
TRX-10015,PROD-1383,2026-01-27,2.0,1446.47,12.07,5.0,Sin_Informacion,Bucaramanga,App,2026,2026-01,2026Q1,False,False,False,False,2892.94,2880.87,0.41722261782131675,False,-10.0,8,True,Monitores,7.0,1027.07,121.0,10.0,BOD-EXT-99,2025-08-16,False,False,False,10,False,168.0,7189.49,0.05785123966942149,False,True,False,,,,,,,,False,False,419.4000000000001,28.994725089355473,838.8000000000002,-10.0,0.0,0.1813819577735125
TRX-10016,PROD-1895,2025-03-04,3.0,475.85,51.59,15.0,Perdido,,WhatsApp,2025,2025-03,2025Q1,True,False,False,False,1427.5500000000002,1375.9600000000003,3.6138839270078105,False,0.0,337,False,Accesorios,1865.0,1405.09,218.0,10.0,Norte,2024-04-08,False,False,False,10,False,663.0,2620492.8499999996,8.555045871559633,True,True,False,3.0,3.5,3.25,-44.449999999999996,True,Sin_Respuesta,Detractor,True,False,-929.2399999999999,-195.28002521803086,-2787.72,0.0,0.0,0.18234723569350145
TRX-10017,PROD-1952,2025-04-12,14.0,1950.2,74.64,15.0,Sin_Informacion,,Online,2025,2025-04,2025Q2,True,False,False,False,27302.8,27228.16,0.2733785545804826,False,0.0,298,False,Monitores,673.0,1010.35,109.0,5.0,Norte,2024-08-08,False,False,False,5,False,541.0,679965.55,6.174311926605505,True,True,False,,,,,,,,False,False,939.85,48.19249307763307,13157.9,0.0,0.0,0.1813819577735125
TRX-10018,PROD-3069,2024-10-06,14.0,1332.95,9.37,3.0,Devuelto,Cali,WhatsApp,2024,2024-10,2024Q4,False,False,False,False,18661.3,18651.93,0.0502108641948846,False,-12.0,486,True,Smartphones,20.0,1369.78,296.0,27.5,Norte,2024-03-10,False,False,False,25-30 días,False,692.0,27395.6,0.06756756756756757,False,True,False,,,,,,,,False,False,-36.82999999999993,-2.763044375257881,-515.619999999999,-12.0,0.0,0.18093855829704886
TRX-10019,PROD-3465,2025-09-04,2.0,910.33,78.94,23.0,Perdido,Medellin,Online,2025,2025-09,2025Q3,False,False,False,False,1820.66,1741.72,4.335790317796842,True,8.0,153,True,Smartphones,1058.0,890.67,137.0,5.0,Occidente,2025-04-09,False,True,False,,True,297.0,942328.86,7.7226277372262775,True,False,False,3.0,2.0,2.5,-4.1,False,Si,Detractor,True,False,19.660000000000082,2.1596563883426976,39.320000000000164,8.0,0.0,0.18093855829704886
TRX-10020,PROD-1108,2025-05-26,2.0,323.48,98.05,10.0,Retrasado,Bogota,Online,2025,2025-05,2025Q2,False,False,False,False,646.96,548.9100000000001,15.155496475825398,False,-5.0,254,True,Laptops,1927.0,1121.36,222.0,5.0,Norte,2025-05-16,False,False,False,5,False,260.0,2160860.7199999997,8.68018018018018,True,True,False,,,,,,,,False,False,-797.8799999999999,-246.65512551007788,-1595.7599999999998,-5.0,0.0,0.18764153995470723
TRX-10021,PROD-3298,2024-10-06,12.0,1071.11,13.41,9.0,Perdido,Bogota,Online,2024,2024-10,2024Q4,False,False,False,False,12853.32,12839.91,0.10433102109027084,False,-6.0,486,True,Smartphones,1720.0,114.65,217.0,10.0,BOD-EXT-99,2025-12-14,False,False,False,10,False,48.0,197198.0,7.926267281105991,True,True,False,,,,,,,,False,False,956.4599999999999,89.29615072214804,11477.519999999999,-6.0,0.0,0.18093855829704886
TRX-10022,PROD-1814,2024-12-30,11.0,337.9,83.11,17.0,En Camino,Bogota,WhatsApp,2024,2024-12,2024Q4,False,False,False,False,3716.8999999999996,3633.7899999999995,2.2360031208803037,True,2.0,401,True,Accesorios,1055.0,657.69,190.0,5.0,ZONA_FRANCA,2025-10-07,False,False,False,5,False,116.0,693862.9500000001,5.552631578947368,True,True,False,1.0,5.0,3.0,85.9,True,Si,Promotor,True,False,-319.7900000000001,-94.6404261615863,-3517.690000000001,2.0,0.0,0.18234723569350145
TRX-10023,PROD-3932,2024-10-25,6.0,864.69,40.97,15.0,Perdido,,Online,2024,2024-10,2024Q4,True,False,False,False,5188.14,5147.17,0.7896857062453981,False,0.0,467,False,,,660.3539958673621,,,,,,,,,,,,,,,True,,,,,,,,False,True,204.33600413263798,23.631128396608954,1226.016024795828,0.0,5188.14,
TRX-10024,PROD-3661,2025-12-02,7.0,823.34,51.605000000000004,15.0,En Camino,,App,2025,2025-12,2025Q4,True,False,True,False,5763.38,5711.775000000001,0.895394716294952,False,0.0,64,False,,,628.7754674593598,,,,,,,,,,,,,,,True,,,,,,,,False,True,194.56453254064024,23.631128396608965,1361.9517277844816,0.0,5763.38,
TRX-10025,PROD-3872,2025-06-06,6.0,1442.68,18.69,27.0,Perdido,Barranquilla,App,2025,2025-06,2025Q2,False,False,False,False,8656.08,8637.39,0.21591759780408684,True,12.0,243,True,,,1101.758436847802,,,,,,,,,,,,,,,True,3.0,3.0,3.0,-11.7,True,Talvez,Detractor,True,True,340.92156315219813,23.631128396608958,2045.5293789131888,12.0,8656.08,
TRX-10026,PROD-3232,2024-10-26,11.0,392.84,51.85,9.0,Devuelto,Bogota,App,2024,2024-10,2024Q4,False,False,False,False,4321.24,4269.389999999999,1.199887069452287,False,-6.0,466,True,Tablets,1546.0,1016.29,210.0,5.0,Occidente,2024-09-01,False,False,False,,True,517.0,1571184.3399999999,7.3619047619047615,True,False,False,,,,,,,,False,False,-623.45,-158.7032888707871,-6857.950000000001,-6.0,0.0,0.18172888015717092
TRX-10027,PROD-2718,2024-10-11,6.0,1645.52,11.79,23.0,Perdido,Medellin,Online,2024,2024-10,2024Q4,False,False,False,False,9873.119999999999,9861.329999999998,0.11941513928727697,True,8.0,481,True,Tablets,369.0,409.07,131.0,0.0,Sur,2025-06-07,False,False,False,Inmediato,False,238.0,150946.83,2.816793893129771,True,True,False,3.0,2.0,2.5,48.2,False,No,Pasivo,True,False,1236.45,75.14038115610872,7418.700000000001,8.0,0.0,0.18172888015717092
TRX-10028,PROD-1902,2025-02-21,9.0,659.0,54.6,3.0,Entregado,Cali,Físico,2025,2025-02,2025Q1,False,False,False,False,5931.0,5876.4,0.9205867475973697,False,-12.0,348,True,Laptops,1880.0,239.54,150.0,10.0,Sur,2025-02-10,False,False,False,10,False,355.0,450335.2,12.533333333333333,True,True,False,,,,,,,,False,False,419.46000000000004,63.65098634294386,3775.1400000000003,-12.0,0.0,0.18764153995470723
TRX-10029,PROD-2839,2026-01-25,8.0,893.54,6.84,15.0,Perdido,,Físico,2026,2026-01,2026Q1,True,False,False,False,7148.32,7141.48,0.09568681872104215,False,0.0,10,False,Laptops,1365.0,816.63,214.0,5.0,Sur,2026-01-06,False,False,False,,True,25.0,1114699.95,6.378504672897196,True,False,False,,,,,,,,False,False,76.90999999999997,8.607337108579355,615.2799999999997,0.0,0.0,0.18764153995470723
TRX-10030,PROD-3413,2025-06-09,14.0,1546.96,74.22,12.0,Devuelto,Barranquilla,App,2025,2025-06,2025Q2,False,False,False,False,21657.440000000002,21583.22,0.34269978353858993,False,-3.0,240,True,Smartphones,2.0,337.38,100.0,10.0,Norte,2025-06-25,False,False,False,10,False,220.0,674.76,0.02,False,True,False,,,,,,,,False,False,1209.58,78.1907741635207,16934.12,-3.0,0.0,0.18093855829704886
TRX-10031,PROD-2139,2025-03-05,8.0,1254.53,51.36,18.0,Devuelto,Bucaramanga,Online,2025,2025-03,2025Q1,False,False,False,False,10036.24,9984.88,0.5117454345452082,True,3.0,336,True,Laptops,1316.0,839.61,299.0,0.0,Occidente,2025-12-30,False,False,False,Inmediato,False,32.0,1104926.76,4.40133779264214,True,True,False,,,,,,,,False,False,414.91999999999996,33.07374076347317,3319.3599999999997,3.0,0.0,0.18764153995470723
TRX-10032,PROD-1026,2024-12-08,6.0,622.97,48.6,10.0,Perdido,Bogota,WhatsApp,2024,2024-12,2024Q4,False,False,False,False,3737.82,3689.2200000000003,1.300223124709055,False,-5.0,423,True,Laptops,1993.0,1088.27,238.0,10.0,BOD-EXT-99,2024-12-07,False,False,False,10,False,420.0,2168922.11,8.373949579831933,True,True,False,3.0,4.0,3.5,-53.8,True,No,Detractor,True,False,-465.29999999999995,-74.69059505273125,-2791.7999999999997,-5.0,0.0,0.18764153995470723
TRX-10033,PROD-1653,2025-08-02,5.0,778.54,23.64,2.0,Perdido,Bucaramanga,WhatsApp,2025,2025-08,2025Q3,False,False,False,False,3892.7,3869.06,0.6072905695275773,False,-13.0,186,True,Monitores,961.0,605.66,223.0,3.0,ZONA_FRANCA,2024-06-24,False,True,False,3,False,586.0,582039.26,4.309417040358745,True,False,False,2.0,5.0,3.5,-25.9,True,No,Detractor,True,False,172.88,22.20566701775118,864.4,-13.0,0.0,0.1813819577735125
TRX-10034,PROD-3859,2025-11-12,9.0,618.52,39.32,17.0,Perdido,Medellin,App,2025,2025-11,2025Q4,False,False,False,False,5566.68,5527.360000000001,0.7063456135434406,True,2.0,84,True,,,472.35674464129426,,,,,,,,,,,,,,,True,2.0,5.0,3.5,-41.2,False,Si,Detractor,True,True,146.16325535870573,23.631128396608958,1315.4692982283516,2.0,5566.68,
TRX-10035,PROD-2731,2025-02-06,12.0,1193.59,22.28,3.0,Sin_Informacion,Barranquilla,Online,2025,2025-02,2025Q1,False,False,False,False,14323.079999999998,14300.799999999997,0.15555313521951986,False,-12.0,363,True,Smartphones,162.0,562.54,137.0,5.0,Occidente,2024-07-27,False,False,False,5,False,553.0,91131.48,1.1824817518248176,False,True,False,4.0,3.0,3.5,-83.0,True,No,Detractor,True,False,631.05,52.869913454368756,7572.599999999999,-12.0,0.0,0.18093855829704886
TRX-10036,PROD-2393,2025-09-16,2.0,671.92,53.06,1.0,Sin_Informacion,Barranquilla,WhatsApp,2025,2025-09,2025Q3,False,False,True,False,1343.84,1290.78,3.9483867127038943,False,-14.0,141,False,Laptops,132.0,751.07,271.0,3.0,ZONA_FRANCA,2025-04-24,False,False,False,3,False,282.0,99141.24,0.4870848708487085,False,True,False,1.0,4.0,2.5,80.9,True,Talvez,Promotor,True,False,-79.15000000000009,-11.779676151922862,-158.30000000000018,-14.0,0.0,0.18764153995470723
TRX-10037,PROD-2138,2025-04-18,7.0,1454.14,74.86,8.0,Retrasado,Medellin,WhatsApp,2025,2025-04,2025Q2,False,False,False,False,10178.980000000001,10104.12,0.7354371459615795,False,-7.0,292,True,Accesorios,123.0,620.31,118.0,5.0,Norte,2024-06-12,False,False,False,5,False,598.0,76298.12999999999,1.0423728813559323,False,True,False,,,,,,,,False,False,833.8300000000002,57.34179652578156,5836.810000000001,-7.0,0.0,0.18234723569350145
TRX-10038,PROD-1636,2025-05-22,6.0,1163.78,23.91,13.0,En Camino,Medellin,WhatsApp,2025,2025-05,2025Q2,False,False,False,False,6982.68,6958.77,0.34241867019539773,False,-2.0,258,True,Laptops,184.0,1407.11,290.0,5.0,BOD-EXT-99,2024-09-24,False,False,False,5,False,494.0,258908.24,0.6344827586206897,False,True,False,,,,,,,,False,False,-243.32999999999993,-20.908590970802035,-1459.9799999999996,-2.0,0.0,0.18764153995470723
TRX-10039,PROD-1881,2024-11-28,7.0,299.96,63.59,11.0,Perdido,Barranquilla,Físico,2024,2024-11,2024Q4,False,False,False,False,2099.72,2036.1299999999999,3.0284990379669674,False,-4.0,433,True,Laptops,854.0,421.48,210.0,3.0,Occidente,2024-10-22,False,False,False,3,False,466.0,359943.92000000004,4.066666666666666,True,True,False,,,,,,,,False,False,-121.52000000000004,-40.51206827577012,-850.6400000000003,-4.0,0.0,0.18764153995470723
TRX-10040,PROD-2378,2025-01-16,12.0,627.43,31.56,8.0,Perdido,Bogota,Físico,2025,2025-01,2025Q1,False,False,False,False,7529.16,7497.599999999999,0.41917026600576957,False,-7.0,384,True,Laptops,1447.0,525.43,108.0,5.0,Sur,2024-12-23,False,False,False,,True,404.0,760297.21,13.398148148148149,True,False,False,,,,,,,,False,False,102.0,16.25679358653555,1224.0,-7.0,0.0,0.18764153995470723
TRX-10041,PROD-1418,2025-10-31,4.0,450.68,67.41,15.0,En Camino,,WhatsApp,2025,2025-10,2025Q4,True,False,False,False,1802.72,1735.31,3.73934942753173,False,0.0,96,False,Laptops,1473.0,303.24,227.0,3.0,Sur,2025-06-17,True,False,False,3,False,228.0,446672.52,6.488986784140969,True,False,False,,,,,,,,False,False,147.44,32.715008431703204,589.76,0.0,0.0,0.18764153995470723
TRX-10042,PROD-1379,2025-04-12,9.0,786.72,56.34,1.0,Entregado,Bogota,Online,2025,2025-04,2025Q2,False,False,False,False,7080.4800000000005,7024.14,0.7957087655074233,False,-14.0,298,True,Laptops,109.0,1305.07,157.0,5.0,Occidente,2025-04-12,False,False,False,,True,294.0,142252.63,0.6942675159235668,False,False,False,,,,,,,,False,False,-518.3499999999999,-65.88748220459628,-4665.15,-14.0,0.0,0.18764153995470723
TRX-10043,PROD-2556,2025-10-03,7.0,1036.81,45.23,2.0,Retrasado,Bogota,WhatsApp,2025,2025-10,2025Q4,False,False,False,False,7257.67,7212.4400000000005,0.6232027634213184,False,-13.0,124,True,Tablets,1544.0,660.07,191.0,3.0,ZONA_FRANCA,2024-03-30,False,False,False,3,False,672.0,1019148.0800000001,8.083769633507853,True,True,False,,,,,,,,False,False,376.7399999999999,36.33645508820323,2637.1799999999994,-13.0,0.0,0.18172888015717092
TRX-10044,PROD-1396,2025-05-30,2.0,1018.46,68.94,18.0,Retrasado,Medellin,WhatsApp,2025,2025-05,2025Q2,False,False,False,False,2036.92,1967.98,3.3845217288847866,True,3.0,250,True,Laptops,157.0,388.33,203.0,3.0,ZONA_FRANCA,2025-11-15,True,False,False,3,False,77.0,60967.81,0.7733990147783252,False,False,False,,,,,,,,False,False,630.1300000000001,61.870863853268666,1260.2600000000002,3.0,0.0,0.18764153995470723
TRX-10045,PROD-2470,2025-12-12,13.0,1511.5,44.49,18.0,Entregado,Medellin,Físico,2025,2025-12,2025Q4,False,False,False,False,19649.5,19605.01,0.22641797501208685,True,3.0,54,True,Monitores,1209.0,486.4,166.0,10.0,ZONA_FRANCA,2026-01-25,False,False,False,10,False,6.0,588057.6,7.283132530120482,True,True,False,,,,,,,,False,False,1025.1,67.82004631161098,13326.3,3.0,0.0,0.1813819577735125
TRX-10046,PROD-2408,2025-12-08,4.0,386.45,83.03,9.0,En Camino,Bogota,Online,2025,2025-12,2025Q4,False,False,False,False,1545.8,1462.77,5.371328761806185,False,-6.0,58,True,Smartphones,985.0,221.06,167.0,27.5,Norte,2025-06-02,False,False,False,25-30 días,False,243.0,217744.1,5.8982035928143715,True,True,False,4.0,2.0,3.0,4.3,True,No,Pasivo,True,False,165.39,42.7972570837107,661.56,-6.0,0.0,0.18093855829704886
TRX-10047,PROD-3472,2025-06-27,5.0,1893.48,74.31,7.0,En Camino,Cali,App,2025,2025-06,2025Q2,False,False,False,False,9467.4,9393.09,0.7849039863109195,False,-8.0,222,True,Smartphones,1540.0,1098.83,117.0,5.0,Occidente,2024-05-26,False,False,False,,True,615.0,1692198.2,13.162393162393162,True,False,False,,,,,,,,False,False,794.6500000000001,41.96769968523565,3973.2500000000005,-8.0,0.0,0.18093855829704886
TRX-10048,PROD-2083,2025-01-12,2.0,692.26,52.475,9.0,Devuelto,Medellin,Online,2025,2025-01,2025Q1,False,False,True,False,1384.52,1332.045,3.7901222084188024,False,-6.0,388,False,Accesorios,232.0,1074.24,255.0,5.0,Norte,2025-08-10,False,False,False,,True,174.0,249223.68,0.9098039215686274,False,False,False,,,,,,,,False,False,-381.98,-55.17869008753937,-763.96,-6.0,0.0,0.18234723569350145
TRX-10049,PROD-1177,2025-12-17,10.0,607.5,56.36,10.0,En Camino,Bogota,Online,2025,2025-12,2025Q4,False,False,False,False,6075.0,6018.64,0.9277366255144033,False,-5.0,49,True,Smartphones,569.0,591.51,191.0,10.0,Norte,2025-06-01,False,False,False,10,False,244.0,336569.19,2.979057591623037,True,True,False,,,,,,,,False,False,15.990000000000009,2.6320987654321004,159.9000000000001,-5.0,0.0,0.18093855829704886
TRX-10050,PROD-3988,2025-08-19,8.0,1373.51,88.32,26.0,Sin_Informacion,Cali,Físico,2025,2025-08,2025Q3,False,False,False,False,10988.08,10899.76,0.8037800962497543,True,11.0,169,True,,,1048.9340883597363,,,,,,,,,,,,,,,True,4.0,3.0,3.5,-33.8,True,No,Detractor,True,True,324.5759116402637,23.631128396608958,2596.6072931221097,11.0,10988.08,
TRX-10051,PROD-2881,2026-01-08,1.0,1612.98,83.74,2.0,Retrasado,Cali,Online,2026,2026-01,2026Q1,False,False,False,False,1612.98,1529.24,5.191632878274994,False,-13.0,27,True,Tablets,1038.0,1060.2,269.0,27.5,Sur,2025-03-04,False,False,False,25-30 días,False,333.0,1100487.6,3.858736059479554,True,True,False,2.0,5.0,3.5,-56.6,False,No,Detractor,True,False,552.78,34.27072871331324,552.78,-13.0,0.0,0.18172888015717092
TRX-10052,PROD-3196,2025-05-14,3.0,763.16,55.52,5.0,Sin_Informacion,Medellin,Físico,2025,2025-05,2025Q2,False,False,False,False,2289.48,2233.96,2.4250048045844474,False,-10.0,266,True,Smartphones,53.0,958.86,108.0,0.0,Sur,2025-12-11,False,False,False,Inmediato,False,51.0,50819.58,0.49074074074074076,False,True,False,,,,,,,,False,False,-195.70000000000005,-25.643377535510254,-587.1000000000001,-10.0,0.0,0.18093855829704886
TRX-10053,PROD-1511,2025-03-17,14.0,1496.23,11.5,17.0,Devuelto,Bogota,Online,2025,2025-03,2025Q1,False,False,False,False,20947.22,20935.72,0.05489988647658257,True,2.0,324,True,Tablets,73.0,87.25,202.0,5.0,Norte,2025-08-24,False,False,False,,True,160.0,6369.25,0.3613861386138614,False,False,False,,,,,,,,False,False,1408.98,94.16867727555255,19725.72,2.0,0.0,0.18172888015717092
TRX-10054,PROD-2550,2025-10-19,1.0,1768.63,58.77,2.0,Perdido,Bogota,Físico,2025,2025-10,2025Q4,False,False,False,False,1768.63,1709.8600000000001,3.3229109536760086,False,-13.0,108,True,Monitores,961.0,60.66,222.0,27.5,ZONA_FRANCA,2024-08-12,False,True,False,25-30 días,False,537.0,58294.259999999995,4.328828828828829,True,False,False,,,,,,,,False,False,1707.97,96.57022667262231,1707.97,-13.0,0.0,0.1813819577735125
TRX-10055,PROD-1322,2025-12-23,5.0,1535.94,38.75,20.0,Perdido,Bogota,Online,2025,2025-12,2025Q4,False,False,False,False,7679.700000000001,7640.950000000001,0.5045770017057958,True,5.0,43,True,Accesorios,1193.0,642.26,163.0,10.0,Norte,2025-05-30,False,False,False,10,False,246.0,766216.1799999999,7.319018404907975,True,True,False,,,,,,,,False,False,893.6800000000001,58.184564501217494,4468.400000000001,5.0,0.0,0.18234723569350145
